Tweetler,Duygu Analizi
hayatında  para vermeden seks yapmamış çevresi eğitimsiz cahil  tipsiz insanlarla dolu cinselliği kedi köpeğin yaptığı seksten hallice olan çomarlar gelmiş cinsellik zehirdir diyor yapamadığınızı   belli etmeyin  ezikler   bunlara,0
aq  gezmezler  bulduğunu askerler abazalıktan cd eşcinsellerle olurlar  netflix yasaklanılabilirmiş siktirin gidin yavsklaaaaarrr,0
sus  yavşak izleme götüm   fakirlerin netflix'i  olucak amk yüzyıldan kalma kafayla yaşıyorsunuz,0
satın almayın amk,0
 dur  dinle ademoğlu  geldin  gidiyorsun,1
hepsinin ötesinde  baskıcı dönemde alınan  kararların baskıcı iktidara hizmet edeceğini düşünüyorum  yasa özgür  ortamda getirilmeli,1
motorsikletin yanından geçen motorcu oluyor amk gün  kaza yapıyor arabalara suç atıyor instagramda  tane  motor kullanan video ,0
benim  korkum  konuyu çarpıtmaya   desene   olursa olsun çocuğa kadına uzanan diller eller toplumdan temizlensin,1
başkalarına yapılan hukuk dişi ahlak dişi olaylara  kalıp görmezden geldiniz size yapılınca ortalığı ayağa kaldırdınız,1
doğduğum günden  yıl   aynı tarihte mezun oldum bundan  kutsal sayım dur,1
 komiksin  burun deliklerini kapat gülerken corona var,1
 kahramanlar pelerin takmaz,1
kıbrıs şehitleri  dominik caddesini yayalar  birleştirdik  geçidi  izmirin tarihi köklerinden gelen figüratif desenler işlendi pasaportun dalgalı kaldırımı bergama kilim  halılarının “ eli belinde ” motifleri talatpaşa meydanına  yakıştı,1
tugay turan hocamız   şekilde emek vererek akademide yardımcı araçları biraraya getirdiği  bilgisel hazırlamış teşekkür ederim ellerine zihnine sağlık tugay hocam,1
sınavda elde edeceğiniz puan dilimine  diploma notunuzun yaklaşık  olması gerekir  yerleştirme  geriye düşme riskini ortadan kaldırasınız,1
kişisel verileri koruma kurulu sosyal medya uygulaması tıktık  veri güvenliği açığı iddiaları  inceleme başlattı,1
umblikal lord göbek bağı  atardamar   toplardamardan oluşuyor rahim  bebeğin  ihtiyaçları  kordonla sağlanıyor,1
kütüphanemizdeki kitapların  ekran fotoğrafını yorum olarak atan kişiye çekilişle görseldeki seti hediye ediyoruz,1
ülkenin  tarafında topraklar işleniyor sonbahara fidan dikimine hazırlık yapılıyor erozyon    gram toprağımız kaybolmasın  orman teşkilatı çalışıyor yıl  dağa yazılan öğm yazısını görürseniz “ ağaçları kesip öğm yazmışlar ” demeyin ,1
sızıntıyla ortaya çıkan görsellerin grafik detayları  kötüydü oyunculardan gelen tepkileri dinleyen firma oyun    çalışacaklarını     görsellikle döneceklerinin desene altını çizdi,1
 sıcak yaz günlerinde  vatandaşlarımızı sokak hayvanları  kapılarının önlerine  kap  koymaya davet ediyoruz,1
şartlar uygun  değilim,1
 pencere önünde  televizyon karşısında yarım saat uyuyakalmalık hava var  an,1
 an aklımıza gelen  şarkıyı yazalım bakalım neler çıkacak,1
sıksokçular anlık,0
hayatımda gördüğüm   haberlerde   azından  instagramda cemre solmazazra gülyarenenes batur’u vs görmeyeceğim,1
hepsini kapatın bütün toplumun ahlakını bozdular,1
aklı oyuncunun ikiyüzlülüğü,0
teşekkürler  bildirim desene bekliyoruz  halde  taahhüdü takip edeceğim ara ara  size hatırlatacağım,1
hastaneye yetişemeyen kadının otoparkta ebe yardımıyla doğum yaptığı anlar,1
   sevilmek size  verir birini  sevmek işe cesaret,1
koyun dedikleri  senedir yönetilen koyun  aklı olmayan  kesim var  ülkede,0
büyük cesaret helal olsun,1
patlamanın yaşandığı bölgeye  yerleşim yerlerindeki insanların evlerine girip kapı  pencerelerini kapa …,1
hayatta kalabilmek  para uğruna insanlar nerelerde canlarını  sayarak çalışıyor allah yardımcıları olsun,1
allahım  yaralılara  ailelerine yardım et,1
geçmiş olsun umarım kimsenin canı yanmamıştır,1
havai fişek fabrikası patlamış rabbim içerideki  çalışanların canını karşına ,1
patlama sesi korkunçtu  sakarya sesi duydum  sarsıntıyı hissetti atom bombası   etki yarattı,1
can kaybı olmaması  temennim,1
sakaryanın hendek ilçesinde  havai fişek fabrikasının patlamasında can kaybının olmamasını temenni ediyorum,1
sakaryada havai fişek fabrikasında patlama içerde kişi var,1
umuyoruz    canımızın  burnu kanamaz,1
sorumlu herkesin canı cehenneme,0
 olarak dünyaya gelmediğimiz  şükrettik ,0
 şey    herkese ahlak bekçiliği yapıp ahlak bekçiliği yaptığı insanlardan kat  ahlaksız hareketler yapan kişi,0
 gidip desene yuvasını yıktığım adamla öpüşeyim,0
 şey    herkese ahlak bekçiliği yapıp ahlak bekçiliği yaptığı insanlardan kat  ahlaksız hareketler yapan insan,0
 ece erkene  söylüyor ahlak bekçiliği yapan ahlaksız  desene sizin yaptığınız   an siktir edin  insanları,0
adam boşanır boşanılmaz tekne turlarında fink atan  ayrılmış numarası yapan utanmazlar,0
 kelime  rezilsin,0
ekrandan herkese ahlak bekçiliği yapan ahlaksız,0
 kime isterse gitsin  istiyorsa yapsın konuşmaya değecek   şeyiniz   ,1
ece   sevgilisi  altında şaman yürütmüş bee,0
 yorumları yazanlara merak ettiğim  soruyorum ahlaksız olan     başkasının suçu  ,1
 kadın ağlayarak mali götürenlere   örnek,0
annenbaban  büyütüyor yedirip içiriyor   emekten   ahlaksız oluyorsuntivit  ,0
   çalışırsak   ,1
ahlak bekçileri size ,0
istediği  yaşar hayatını olumlu olumsuz  sonuçları kendisi yaşayacak,1
insan    çirkinleşebilirsin örneğibuyrun,0
ee  dememişler  ahlak bekçiliği yapıyorsa  ahlaksız dur,0
adamda tip düşün  fizik düşün   adamın neyini sevdin,0
türkiyenin gelmiş geçmiş enin büyük eskortusun ,0
utanmazlar,0
milletin dedikodusunu yaparken paranın dibine vurmasını biliyordunuz milletin ahlak bekçiliğini yapmasını biliyorsunuz,0
insan    çirkinleşebilir,0
ece erkene önyargılı davranıp onu  sevmiyorsunuz   tanısanız nefret edersiniz,0
 namustan söz ediyorsa  namussuzu  dur,0
yuva yıkıp  aileyi dağıtan kadın,0
cahil alt kültür adam,0
ünlü kadınlar yuva yıkar hayretbisey arkadaş normal  ünlü,0
aq  midesizsiniz,0
vazgeçtim inan kendimden çoktan,1
gömülen gömülene unutulan unutulana kayıplara karışan karı,1
yaş  olursa olsunher sözünsesinkalemin yüreğime dokunur,1
 severek dinledim,1
saga benim dilsiz kalbime dil dikenli yollarımdaki çiçekanlatmaya çalışmadıklarıma kelimelersin sağopakajmerbrnbzkrttbernik,1
uçur beni rüzgar tuz taneleri   uzağa ,1
benim gözlerimden bak dünyaya,1
bugunum yarinim  yanım karambolde,1
beni mutlu edecek şey,1
mektup al derdimi gör,1
halini sürer    yollar ,1
 zaman ,1
şuraya girince kendimi tutamayıp  tweetleri beğeniyorum,1
  istemez   gün  günü,1
şiirler yazmak izleyip kırmızı gülü,1
  bütün  olanlara dayanamam  hazırım,1
 giderken adımlarını sayarım ,1
uzuyor uzadıkça bitmiyor bitse sevimsiz akşamlar,1
huzur özür dilemeli bana uğramadığı  gün ,1
uçur beni rüzgar,1
 küfür ederim,0
bize  saatten  mutlu edecek  şey konseridir,1
kah çıkarım gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi,1
ifadeler sözlerden  şeşlidir  saga sessizlerin sesidir,1
güvendiğim dağlara kar yağıyor,1
mutlu oldum,1
 yaralı balıkları gitsin misina   gergin,1
 istemez  şeyim sende rehin,1
   kar,1
 seviyorum,1
utanmadan konuşuyor şerefsiz,0
satılık herif,1
içim hasret yeri küheylan kaldı  kemik  deri,1
katil kimsesiz gariban  canın canı alan zalim,0
yazıklar olsun olsun senin  insana,0
allah belanı versin umarım  şekilde can verirsin,0
 kaltak tutuklansın,0
kendisinden utan şerefsiz,0
insan olamamış  mahluk,0
allah belanızı versin,0
 akademisyenin ahlaksız vicdansız,0
arabanın arkasına bağlayıp sürükleyeceksin   kemiklerini kırıp yatalak edeceksin,0
 insan  ,0
 vahşi  yaratıksın,0
pis suratsız,0
 okumuş barbarsın,0
çoluğun çocuğun ezilsin senin,0
  katılsın şerefsiz  haysiyetsizsin,0
haysiyetsiz  mahluk,0
vicdansız allah senin belanı versin,0
allahın belası insan müsveddesi,0
 insan olamazsın,0
sosyal medyadan  çevresinden gelecek  türlü linci hakediyor,0
hayvan katili,0
allah belanı versin vicdansız,0
bunu yazan şerefsizler  kaçacak,0
  kez  gurur duyuyorum fenerbahçeli olduğum ,1
bela  musibetsin,0
türk futbolunun foseptik çukurlarının şikeden dolup patladığı gün,0
yıkmaya gücünüz yıkıldığımızı görmeye ömrünüz yetmez,1
onurla gururla şampiyon fenerbahçe,1
 fetö nün  büyük destekçisisin,0
 zaman olduğu  dik durdu hainlerin onu hedef almalarına  yıkılmadı,1
aşkınla sevginle  delirdik   ölmeye yeminler ettikçe cefalar çektikçe canlar verdik,1
iftiracı namussuz,0
 mutlu size,1
 deniyor hamsi hırsızlık yapmadan ziyaret ,0
unutmadık unutturmayacağız,1
yıkmaya gücünüz yetmez,1
  yüzle  başkasını eleştiriyorsun,0
 katılsın namussuz,0
rabbim sağlık sıhhat  ömürler versin ,1
cumamız  olsun,1
sizin yalanlarınız sizin montajlarını bitmez,0
  varsın başkanım,1
inanın  görüntüleri unutmuşum,1
olay  ,1
insan  gün yaşanan olayları görüp bildikçe  canlının acısını acısı ettikçe  mutlu  hayat arzu etsin,1
söyle şunları ,0
kendisi kazdığı kuyuya kendisi düşen enayiler,0
oğlu  eşi   olduğu belli olmayan erdal çomarı,0
erdalcım boku kürekle yedin,0
  sıçtın,0
 kadın kendini ispatlamış   insan  sizin derdiniz ,1
ayağına sıkacağına kafasına şık,0
kadına  gün   hayran ölüyorum,1
halkın diktatörü,0
ayağına sıkan  salakta sensin,0
 müge anlıyla uğraşabilir mısın müge anlı la ,1
 telefonun incelenmeyeceğini  sanıyorsun,1
 sonuna geldin,1
 şaban dayın  kurtaramayacak  dallama,0
allah affetsin ,1
üremesi yasaklanmalı hastalıklı genleri dünyaya saçmasının önüne geçilmeli,0
 müslüman haysiyetsiz,0
ayşe asgari ücretle geçen yıl kg et alıyorduk,1
inanmıyor misiniz,1
hesap   aşağıda,1
 verelim mehteri,1
otomobil fiyatları uçmuş,1
konut fiyatları tavan yapmış,1
bilet fiyatları katlanmış,1
iğneden ipliğe  şey zamlanmış,1
facebook profili şerefsizin,0
hayasızlar telefon numarasını  vermiş,0
cahil  kadınsın,0
çomar piç ,0
yazıklar olsun sağlık yaratık,0
acılar  gebermeni dilerim,0
ölmek  yalvar iblisin oğlu,0
kafana sıkıcam senin,0
öldüreceğim ,0
tecavüz edilmeyi hakediyorsun,0
şirketimizde   hizmet  vermeye başlayacağız hizmet adı götü bilmüh ödev  projeleri yapılır,1
göktürke  domatesler parka gidebilir tavuklar oruç tutabilir,1
arası enflasyon seviyesi önemli  eşik mücadele edemezsek    gördüğümüz   yükselir atalet inertia,1
  suriyeli mültecileri göndermekle tehdit ettiğimiz avrupaya bize turist göndermesi sınırları açması  bakan gönderiyoruz  öngörü  vizyon,1
dostlar  oluşumuza özel resimdeki gördüğünüz pikap toplam takipçimize hediye edeceğiz yapmanız gereken  şey  diviti beğenip yoruma arkadaşınızı etiketlemek herkese bol şans,1
  mısın,0
flört ettiklerini bildiğim  arkadaşımdan erkek olan   konuşuyormuş sohbeti yarıda bırakıyorum   rica etti  yoklar mısın  gördüm bende çocuk diyor  “ kızın kafa zehir  beni desene  sanıyor muhabbet ilerlerse durumu fark eder,1
instagramı açtığım  karşıma bikinili  kadın çıktı utanmazlar,0
  google gaz fren sağ sol araması yaptım sağınızı solunuzu bilmemek  acı,1
babaninn düşmanına sıçayım,0
çevre doğa hayvan koruma şube müdürlüğü kuruldu,1
afrikada  şehir adı aydın,1
 adamın yaptığı şey  büyük  olay    ülke  desene   büyük  utanç,1
 toplumu geriyorsunuz şerefsizler bataklar,0
evde  tatil bavulu yapıyor  ödev yapıyorum,1
fenerbahçe başkanı ali koçun mahkemeye verdiği beyanın final kısmı,1
barcelonada mutsuz olan lionel messi  sözleşme görüşmelerini durdurdu,1
ozan güvenin ifadesini okudum feridun abiyi ararken  mantıklı şeyler söylemişti,1
 ,1
günün  asrın öcü,0
orospu evladı ,0
şerefsiz orospu çocuğu,0
  beyinsiz  insansın  ,0
 örgütlü şerefsizliktir,0
 orospu çocuğu,0
orospuçocuğu ananı sikeyim vatan haini sülalenişikeyim vatanhaini alman köpeği   sizin müslümanlığınız  küfür utanmadan  ediyorsunuz allah diyorsunuz  korkmuyorsunuz sizinle hesaplaşmak  cehenneme gitmek istiyorum  size   bulurum,0
orospu çocuğu senin beni üzmeye  hakkın var,0
insan değilsin orospu çocuğu,0
gün geçmiyor  memelektte   orospu çocuğu görmeyelim …,0
havaş senin  amk,0
 remini senin amk,0
kahpe zehra kusura bakma  hızımı alamıyorum senin  amk,0
kaşar   küfürleri hak ediyor,0
yavşak melikşah sende sattın bize senin  amk,0
 senin kafanı sikeyim,0
senin  amk,0
arkun denyosu  şeyi içi  kafana şok  sus,0
amk dengesizi    meydan okumaya çıktı senin olmayan beynini sikeyim,0
senin  tipini sikeyim amk balonu,0
 senin beynin  amk mali beynin,0
saat çalış bakırköy sahilde sabahla amk senin,0
hasiktir  dalyarak,0
senin başkaldırına sokayım,0
 çirkin  tipin var senin,0
babama senin kızı bizim oğlana alalım diyen emmi senin desene amk,0
 senin olmayan beynine köpek isesin amk,0
amk sercanı keline sıçayım senin,0
kusura bakma  senin  amk  yeter,0
bunları görüyorsan senin amk,0
senin  aklı sikeyim ,0
yaşamaya değmezsin git öldür kendini ,0
senin ağzına sicim,0
senin  amk,0
mabel matiz senin amk,0
yalancı sahtekar dallama,0
çomar orospu evlatları  kudurmuş,0
sevmeyen siktirsin gitsin,0
çomar orospu evlatları  zaman tükenecek  ülkede,0
çomar piç,0
senin aklın  fikrin var çomar,0
zoruna  gitti çomar,0
 amk çocuğu   salak terimler kullanıyor,0
fakiriz  salak değiliz,1
bende salak  gözümü  kaçırıyorum  malmışım eee,1
şey muazzam     salak  koyuyorlar    şeyin farkındasın,1
gençler yaşlıların  olduğunu düşünür  yaşlılar gençlerin  olduğunu bilir,1
 birimiz  yada saf değilizsadece susuyor  görmezden geliyoruz,1
hayatımda gördüğüm   kişi,0
 evladı,0
tanıştırayım adı şerefsiz  namussuz,0
alçakça yapılan ahlaksızserefsiz  namussuz paylaşımları lanetliyorum,1
 şerefsizhaysiyetsiznamussuz,0
 onun bunun çoçuklarısınız,0
size  yunan kerhanesi çocukları,0
 şerefsiz  namussuz adama  bakın,0
 gerçeğin savunucusuyuz gizlenmek   derdimiz esasında yoklama namussuz haysiyetsiz şerefsiz  güruhla   ,0
  ağlatmak suretiyle cima etsek neler çıkacak ortaya  amk,0
exatlon  aq,0
exatlon  an çekiliyor olsaydı acun takımları eşitlemek  beyaz takıma berkanı transfer ederdi  siyahlar oyun kazanamazdı,1
old youtube tayfayı  olduklarını bilmediği  çöp kategorisine koyanlar yormayın,1
tanıdıklarım  elin parmağını geçmez olaya bak,1
doğanın dilaranın bacaklarından   kıl var demesi cnrkxkemck sonrasında   bakışma,1
elanur yürüme koş koş,1
hiçbirini tanımıyorum  bazıları  mal,0
acun yaptığın  programda dünyanın   yarışması diyorsun,1
 karar ver  kanka deli olacaksın ,1
exatlon parkuru survivor parkurlarından  ,1
yakışıklı olduğunuz   anasını avradanışınızda furkan bey,1
gizem hortlak mısın  yerden çıkıyorsun mk,0
gözümüzü gönlümüzü açtın allah razı olsun,1
 zamandır bekliyordum,1
siyah takımın kazanmasını  izliyorum,1
  durumdayım kiramı ödeyemedim evim   durumda,1
exatlon   cezalar   ,1
orkun kusura bakma  bok  sunmuşsun,1
orkun ısıtmak   isimleri sosyal medyadan   tanıyorsunuz,1
  amk afafsg,0
orkun  an yanıyorsun diyor,1
exatlon utkan okum cenabet  gittin oralara  insanın  cezada başına  şey  gelir   ergen ,0
aynı kişi  ,1
izlemedim izlemek   niyetimde   sene  survivor bana yetti exatlon  çekemem,1
gözde  diskalifiye olursun,0
yağmur baya   hayran kaldım kadına,1
gözdenin hırsına aşık oldum,1
survivor    kurgu  algıdan gina gelmişkenexatlon izlemek ,1
elanın kiminle hazırlandığı açıklanmış,1
öykü berkan   ınstagram fenomeni yarışıyormuş   kızın ismini  duymamıştım,1
 buna elanur demişsiniz   bildiğimiz survivor gizem,1
tarafım belli miafitz,1
üzümlü kekim,1
exatlon  ringe  program twitter  gördüm  anladım izleyenler yaşınız   merak ettim   insanlarsınız,0
 ka tanımadığımız fenomen varsa toplamışsınız   hayrettini tanıyorum amk annen evdemiiiii exatlon,1
 walter  neler getirebilirsin  merakla izliyorum ,1
dizi  filmlerdeki kadın şiddetine tacizlerine rtükün  el atması lazım,1
kadına şiddete ,1
hayata  doğan  bakıyorum  önder barış  ölüyorum,1
doğruları konuşalım,1
türkiyenin   türkçe koronavirüs  yayınına aşağıdaki linkten ulaşabilirsiniz,1
kızların gün bakım yapmamasıyla çöküp çirkin olmaları,0
 aynı kişi  aq,1
 yıldır ınstagram kullanıyorum   aq,0
gündeme  dönelim exatlon tarafınızı görelim bakalım,1
harikasın mükemmelsin efsanesin,1
netflix fakiriyiz anlatın    yarışma,1
  aynı kişi olabilir arkadaşlar,1
dilara mükemmeldi aksini iddia eden kördür kendini  parkur geliştirdi  yargı dağıttı   ,1
 fuhuş,0
exatlonu  başarılı buldum  netflixde olması süper olmuş,1
 tatlısın canım,1
 şunun  çekme çabasını gözümün  çeksin,1
survivor parkurundan  exatlon parkuru gözümüzü gönlümüzü açtı,1
koşar mısın gelip  ittirelim ,1
gayette  kişiyi tanıyoruz mağarada  yaşıyorsunuz amk  tweet altına     anan kardeşim,0
   çökmüş ,1
 bismillah  başlıyorum,1
 miafitz yapsaydınız ismini   tutardı  program,1
kusursuz,1
 izleyemiyorum benim netflix desene ,1
 ikisi yarışsa oyunu  kazanır,1
 saat instagramda geçirip desene   yarışmadakileri tanımam,1
türkiyede elraen  deliğine yi izlemek vardı,1
exatlonun  güçlüsü benim,1
  eğleniyorum  an,1
bırakın   şeyleri konuşmayı  acunu yeteri  zengin etmediniz  exatlon   önemli,0
kızların hiçbirini tanımıyorum dkfjdkfkdkfkkdkf,1
erkeklerden desene urası hayrettini  doğanı tanıyorum ,1
finalde acun ılıcalı yi unutmayıp  siyah tişört giyen koca yürekli orkun,1
yarışmaya gidecek olursam   isteğim elanur  öyküden   olmak elanur aşk atışların   bitiricilik ,1
  şerefsiz evlatları var  sosyal medyanın kökten kapatılması taraftarıyım,0
arkadaşlar farkında misiniz  amacımız barışın şampiyon olması   onun  açtı sayfalarını,1
panaroma'larda  iyilerden bahsedilirken  cemal can dan bahsedilmesi tırnaklarıyla kazıyarak yaptı  başarıyı,1
spoiler veriyorum,0
cemal  sistematik olarak tanıdık arkadaşlarına söyleyip olumsuz haberler yaptıranlar oluyor,1
hakanın bunları söylerken yüzüne bakın  kuduruyor  içe barışı kıskanmaktan  dediğini bilmiyor,0
ıq lu nisa bölükbaşı nin kanalına yüklediği videoya bakar misiniz   ıq  düşürsün ,0
 şeye   önemlisi nezaket  centilmenlik,1
sayın hakan hatipoğlu söyle cevap vermek istiyoruz,1
 konuşur  önemli olan icraat,1
 nisa  avokadoyu  bırakmadın çocuk  klinikteyken  ona sarılıp uyumuştu,1
seviyorum  babakommmm,1
barış fanları  cahil  geneli eğitimsiz kesim,0
 çocuktan finalleri almak   ,1
kaptan cemal can yaparak takımına  sayısını  getiriyor,1
kaptanlık oyununda cemalın berkanı almak   barış   süreyi yap demesini    farketmedim heralde,1
 exatlonda   aynı eşleşmeler oluyor,1
barış anadolu efeste basket oynamış basketbol oyununda  tur ersini seçiyor söyleyeceklerim  ,1
merti benim hesabımda kişi takip ediyor size diyecek  ufak lafım   yazıklar olsun ,1
final günü bmy kimseye  kaydırmak   geldik  gitmemiz lazım gün kaldı ,1
şampiyon olacaksın karakartal,1
ellerine sağlık,1
bunu yazman  komik durmuş  bilmiyorsun,1
halkımız salak ,1
kıskanç vasıfsız kendini  bok sanan semihi  fotoğrafla size anlatıyorum,0
 bölümleri adem  havvadan başlatmayı bırakır misiniz,1
algı kralları paralı köpekler tiksiniyorum sizden sahtesiniz sahte,0
video temimsilidir   yerlere çekmeyin söyledikleri  haftanın özeti olduğu ,1
   şey görmedim  geçmiş olsun,1
barışa  an inanılmaz  destek var,1
  bölümü  izledim  yer  kafama takıldı   düşünüyorsunuz bilmiyorum  benim düşüncem  yönde,1
 cemal canı  kastediyorsa  gidip yanına oturup dertleşiyor,1
 kendisi ikiyüzlü,0
 yazdıysa gerçekleri gören  valla helal olsun,1
 mutlu oldum oğlum benim mesajımı aldı okudu  sevindim,1
 şarkı çıkmış izlemeyen pişman oluyor,1
final yaklaşırken  kitlenin  şahısların çirkin algı oyunlarını  şekilde izliyoruz,1
 profil semih öztürk  açılan   official anti sayfasıdır,0
gelişmeler saygı çerçevesi altında sizinle paylaşılacak,1
ilahi adalet yerini bulacak algılar  niyetler art niyetler  yüzüne çıkacak,1
    kuduruk  aciz saygısız     niyetli  kıçınızı tekmeleyeceğiz,0
 desene anladık  oyun sunmak  baba yiğidin harcı değilmiş,1
kafanızın  beyin  bok var,0
mal aq   elenildin kezban,0
dünyaya trol olarak geldiğini kanıtlayan anlar,1
arkadaşımı göndermeye kalkan kişi benim arkadaşım  abi,1
turabîyi sevmem  söylemi  ,1
ceyhun bunun kızı kanserden olduğu   türkiye  üzülmüş,1
 unuta bilirsiniz  unutmam,1
arkadaşlar  gerizekalı misiniz,0
felaket  şeysin,1
yüzleşmeye  kaldı  vakit buldukça eski bölümleri izleyip dikkatimi çeken yerleri kaydediyorum,1
bunların dışındakiler çöp,0
 yetişmiyor ağa varlığı olay yokluğu koyar,0
 defa   sanatçı ruhlu  geldi,1
sinirlerim bozuldu alın sizin desene bozulsun,0
ananı sikeyim  zaman,0
orospu çocuğu,0
ananı sikeyim,0
vatan haini,0
sülaleni sikeyim,0
alman köpeği,0
 hesaplara bakma uygulamasını bulan kişi ananı sikeyim,0
sinek kere ananı sikeyim senin,0
senin  ananı sikeyim umarım boğazını keserler,0
kafanı keseceğim senin,0
ananı sikeyim senin orospu evladı,0
anasını sikeyim senin  adamın,0
yıkıl samsun enkazını göreyim  memleket diyenin anasını avradını sikeyim,0
bize  hallere düşüren herkesin anasını avradını sikeyim,0
 günün anasını sikeyim,0
emeği geçen herkesin anasını sikeyim,0
senin kafanı keserim hıyar,0
senin kafanı keserim ara beni,0
 herif,0
  kime  anlatıyoruz amına köyüm,0
 alkol alana küfredene günah diyenler söyle  siktirsin gitsin kendisi sevabınızdan  milletin günahını düşünür olmuşsunuz amına köyüm,0
kapatacaksanız tıktoku kapatın amına köyüm,0
  olmuş bırakın  kalsın düzeltenin amına köyüm,0
allah belanı versin psikopat ruh hastası,0
senin allah versin belanı bee,0
bana salak dedikten   salak oğlu salak olduğunu  fark etti,0
gerizekalı amcağızlar sizce kraliçemizin çemberi bilmeme ihtimali var ,0
 tag  gerizekalı açmış,0
  yaş üstü  kafalı + oto boka karışan + gerizekalı + cahil öç insanlarla muhatap olmak istemiyorum,0
onun adını kullanamazsınız gerizekalı mahlukatlar,0
siktir  gerizekalı  kimsin aq,0
 site kapatılıyor  bütün akrabalarımın aminakoyim gerizekalı mahlukatlar,0
gerizekalı ruh hastası şakak beyinsiz,0
korkunç savunması  aynı beni tehdit etti beni karalamak  yapıldı   siktir git ,0
twitter  destekliyor siktir git  siteden,0
  siktir git amk,0
siktir ol git  takımdan  orospu çocuğu,0
siktir git  zaman,0
  siktir git,0
siktir git salak salak konuşma amk,0
belhandanın  istediği pozisyona bak aq siktir git  takımdan sikik,0
gelen bildirime bak siktir git ,0
  siktir git yalanında ,0
 yalancı   insansın,0
  çıktı  karşıma  siktir git amk suluğu  yapışkan çıktın ,0
    olmak zorundasın,1
hangimiz  ,1
      gülüyorsun,1
prenses ev arıyor,1
pilates yapmıyor muydu  kadın   oyuncu  yazmışlar,1
 abarttınız  tipsizi ,0
eminim  duyar kaşanların   deli  survivor  dizi izliyor,1
gündemde  numarabu sosyal medya  saçmalamaya başladı,1
 akının dudakları varmış kdkdkdkdkdkd  desene dolgun,1
duraksınız sürerken öğrenciler olarak isteklerimiz haklarımızın verilmesi,1
internet hızım kameramın beni algılamaması  sınav süremin kısalması benim suçum ,1
witwiser  mağduruz,1
 itücülerin şımarıklıklarından bıkanlar,0
yaşadığımız problemlerini çevremdekilere anlatıyorum kendisi başarısızlığıma kılıf uyduruyormuşum  davranıyorlar,1
amacı belli olamayan  eklenti amatörce düzenlenmiş  mağduriyete odaklı sınav sistemi,1
 hayallerle geldiğimiz itüde bunları yaşadığımıza inanamıyorum çözümünüz çözüm  öğrenciyi mağdur etmek,1
online sınav yapılması  saçma trakya üniversitesi ödev sistemi uyguladı bize   olsa   bundan  memnunuz,1
sınav sürem eksik başladım soruları görmediğim halde,1
vizesinden yüksek not alıp   notla geçme ihtimalimin yüksek olduğu  finaline çalıştığım dersin sınavı,1
 sınavı yapabilecek miyim  stres ölürüm  sınava girebilecek miyim  teşekkürler,1
okulumuzda online sınavda yaşanan mağduriyetlere gün gün tanıklık ediyoruz,1
 şaka yapıyoruz     arkadaşıma sınava girebildin   soru sormak zorunda kaldım   nedir ,1
 yaşananlar itü nün mezuniyetinden belliydi  gün rektöre sırtını dönen  arkadaşlarıma selam olsun,1
  yazmak anlamsız gelmeye başladı  dikkate almıyorsunuz,1
 dedelerimiz  duydum sesimizi    duymadınız,1
verilerimiz yurtdışında depolanılıyor,1
sınava girmek  can atan öğrenciler  buna izin vermeyen  sistem  örneği yoktur,1
sosyal medyada  küfredenhakaret eden  algıyı  yöneten kazanır,1
sınava girebildin ,1
  sınavı rezillik olsa öğrenciye it muamelesi yapılıyor övünebildikleri  şey desene “ yeşil kampüs ”,1
güz dönemi  eğitim olmasın   rezilliği kaldıracak  enerjim  desene motivasyonum kaldı,1
 salatada salyangoz yerken  doğa kolejini satın aldınız,1
bütün okul sınav derdinde  desene arada doğum gününü kutlatmaya çalışıyor,1
 anlayana   anlatmaya  belgelemeye  edeceğiz  sistem hukuksuz,1
heralde tt olmak rektörün hoşuna gitti reklamın iyisi kötüsü olmaz vur kırbacı öğrenciye,1
 süreçte kiminin ailesinden virüs kapan ,1
kiminin anne babası işsiz kaldı iflas etti,1
  uyarı yapıldı hala aksiyon alınmadı pandemi dönemindeki   final dönemi budur tebrikler,1
sayenizde sınavı geçmeyi  sınava girebilmeyi dert edinir olduk,1
vereceğiniz  cevabınız  kalmadı ,1
rektörümüzün uyarılara kopya göndermesi  geçiştirdiği uygulama,1
kimya sınavına girebildim  kimyanın babası cabir  hayvan gelse saatte  soruyu çözemezdi,1
  yaptığım testi  seçenek yoktu,1
final var  geldik  rezaletten   şey ,1
sınava girebilmek istemek   talep olabilir  çıldırıyorum ,1
bize perişan etmekle kalmadınız kendinizi desene rezil ettiniz  çınar olan  okulun itibarı  halde  bakın,1
sizin kepaze sistemleriniz  bursum kesilirse medde kendimi yakarım,0
  tane engellemeyi unuttuğum ortalık orospusunun evladı gelip zamlara arka çıkmış motivasyonu  sağlığımızmış sizin  ağzınızı sikeyim   insan değilsiniz  bakteri  değilsiniz,0
 noluyo orospu evladı kürt terörist bizim ülkemiz sizin  amk çocukları,0
ardaya  diyenlerin   mantıklı açıklaması  arda turan gs  türk futbol tarihinin  önemli futbolcusundan biridir gelir aslan  oynar  merak etmesin,1
zakkum iç,0
pipetle biramı içilir bilmem  demiş  kör topallar sizin mk isterse kaşıkla içer  pipetle bira içerseniz kafanız x   olur,0
tanrı yoktur inanma milleti rahatsız etme,1
